"mt12","mt13","mt14","mt15","nuc01","nuc02","nuc08"
"mt12",0,0.0355808037808289,0.0471969588310011,0.0453316729994882,0.126995880155762,0.1084226057477,0.0939081046099579
"mt13",0.0355808037808289,0,0.0340483001459787,0.0417342330513365,0.126839354512283,0.10816635171392,0.0951583157129652
"mt14",0.0471969588310011,0.0340483001459787,0,0.0314791681218248,0.127411950070498,0.110553454936713,0.0914330482031854
"mt15",0.0453316729994882,0.0417342330513365,0.0314791681218248,0,0.130230828185566,0.109708904281231,0.0896212548493156
"nuc01",0.126995880155762,0.126839354512283,0.127411950070498,0.130230828185566,0,0.089420645301439,0.0890920675453847
"nuc02",0.1084226057477,0.10816635171392,0.110553454936713,0.109708904281231,0.089420645301439,0,0.0874090080637498
"nuc08",0.0939081046099579,0.0951583157129652,0.0914330482031854,0.0896212548493156,0.0890920675453847,0.0874090080637498,0
